Age (Ma),SL (compared to present)
199.92,6.71
200.01,6.71
200.11,6.7
200.2,6.69
200.3,6.68
200.39,4.77
200.49,4.29
200.58,3.81
200.67,0.95
200.77,-0.96
200.86,-0.97
200.96,-2.88
201.05,-5.74
201.15,-10.51
201.24,-13.38
201.33,-16.23
201.43,-18.14
201.52,-23.86
201.62,-25.3
201.71,-26.74
201.81,-29.59
201.9,-31.5
201.94,-33.41
201.98,-33.42
202.03,-35.33
202.07,-35.34
202.11,-35.35
202.15,-35.36
202.2,-35.36
202.24,-35.37
202.28,-34.43
202.32,-33.48
202.36,-33.49
202.41,-31.59
202.45,-29.69
202.49,-29.7
202.53,-25.9
202.58,-25.91
202.62,-25.91
202.66,-22.12
202.7,-22.13
202.74,-22.13
202.79,-20.23
202.83,-19.29
